19244610|720|36734.33
19244610|1|55.16
20030N10|2632|91843.51
20030N10|772|26583.82
20030N10|2514|87198.09
20366810|1392|7822.9
20366810|1478|9348.35
20588710|359|13164.65
20588710|111|4194.68
20588710|4|153.32
20588710|4|153.04
20588710|11|414.81
21664840|98|17262.7
21664840|7|1190.49
21664840|1|168.61
21664840|44|7731.68
21720410|658|17291.24
22160K10|464|70170.72
22160K10|235|35747.49
22160K10|48|7706.88
22160K10|1|162.2
22989910|232|17288.41
23102110|180|22815
23332610|166|17740.25
23355L10|310|17254.57
23355L10|179.0004|11438.4
23355L10|2|110.08
23719410|280|17171.4
23918K10|303|17243.73
23918K10|4|223
24353710|141|7888.94
24353710|163|9695.24
24353710|16|913.9
24353710|39|2091.57
24419910|318|27726.39
24736170|862|35798.77
24736170|6|287.58
24785010|305|17259
24785010|11|601.26
24906P10|307|17188.93
24906P10|15|849.87
25392210|1023|17339.85
25456K10|614|7859.14
25456K10|770|10084
25468710|1817|170268.41
25468710|75|7816.49
25667710|296|20245.89
25754A20|104|17125.58
25754A20|2|334.32
25754A20|3|504
25755920|479|17301.48
25755920|23|880.9
25755920|4|150.88
25755920|19|680.2
26138E10|193|17173.12
26138E10|3|265.14
26138E10|47|4168.43
26353410|1182|81392.48
26884L10|272|17310.08
26884L10|16|1018.32
26884L10|13|791.18
26884L10|15|915.59
26884L10|13|751.66
26885G10|2136|17286.69
26885G10|18|142.72
26924640|610|17281.3
27579R10|436|17248.16
27864210|1359|39193.56
27864210|196|5482.12
27864210|6|171.3
28176E10|193|18199.9
28176E10|14|1307.88
29221810|563|17309.44
29476L10|382|23321.06
29476L10|23|1379.74
29717810|83|17188.46
29717810|6|1279.62
30219E10|719|7835.05
30219E10|1017|10800.44
30219E10|63|679.14
30219E10|239|2227.24
30219E10|90|797.38
30219E10|163|1326.8
30219E10|52|407.68
30219G10|298|18395.54
30219G10|151|9078.12
30225T10|228|17334.84
30225T10|13|937.69
30225T10|9|634.77
30225T10|3|215.52
30225T10|4|295.32
30244510|184|6609.26
30244510|308|11118.77
30244510|28|969.08
30303M10|146|18239.77
30303M10|2|256.46
30303M10|297|42078.96
30303M10|31|4367.28
30303M10|103|15514.88
