PERMNO,DIVAMT,EXDT
10252,0.29,20161221
10253,,
10254,,
10255,,
10256,,
10257,,
10258,,
10259,,
10260,,
10261,,
10262,,
10263,,
10264,,
10265,,
10266,,
10267,,
10268,,
10269,,
10270,,
10271,,
10272,,
10273,,
10274,,
10275,,
10276,,
10277,,
10278,,
10279,,
10280,,
10281,,
10282,,
10283,,
10284,,
10285,,
10286,,
10287,,
10288,,
10289,,
10290,0.325,20100311
10290,0.325,20100611
10290,0.36,20100913
10290,1.44,20101110
10290,0.36,20101110
10290,0.36,20110311
10290,0.36,20110613
10290,0.38,20110913
10291,,
10292,,
10293,,
10294,0.095,20101117
10294,0.1125,20111116
10294,0.0375,20120529
10294,0.0375,20120823
10294,0.9875,20121121
10294,0.0375,20130228
10294,0.0375,20130523
10294,0.075,20130822
10294,0.075,20131121
10294,0.075,20140227
10294,0.075,20140523
10294,1.025,20140821
10294,0.075,20141120
10294,0.075,20150226
10294,0.075,20150522
10294,0.095,20150824
10294,0.095,20151123
10294,0.095,20160304
10294,0.095,20160523
10294,0.1125,20160822
10294,1.0625,20161121
10295,,
10296,,
10297,0.13,20100120
10297,0.13,20100421
10297,0.13,20100721
10297,0.13,20101020
10297,0.13,20110119
10297,0.13,20110419
10297,0.13,20110720
10297,0.13,20111019
10297,0.13,20120120
10297,0.13,20120419
10297,0.13,20120720
10297,0.13,20121022
10297,0.13,20130122
10297,0.13,20130419
10297,0.13,20130722
10297,0.13,20131022
10297,0.13,20140122
10297,0.13,20140421
10297,0.13,20140722
10297,0.13,20141022
10297,0.13,20150121
10297,0.13,20150421
10297,0.14,20150722
10297,0.14,20151021
10297,0.14,20160121
10297,0.14,20160420
10297,0.14,20160720
10297,0.14,20161020
10298,,
10299,0.23,20100210
10299,0.23,20100512
10299,0.23,20100811
10299,0.23,20101109
10299,0.24,20110216
10299,0.24,20110518
10299,0.24,20110817
10299,0.24,20111116
10299,0.25,20120215
10299,0.25,20120516
10299,0.25,20120815
10299,0.25,20121114
10299,0.26,20121213
10299,0.26,20130515
10299,0.26,20130814
10299,0.26,20131113
