date,mktrf,smb,hml
19690319,0.007100,0.000600,-0.002500
19690320,0.006200,0.003300,-0.001200
19690321,-0.002000,0.003200,0.002300
19690324,-0.001600,0.001100,-0.000100
19690325,0.001200,0.000100,-0.002400
19690326,0.006400,-0.001900,0.000700
19690327,0.006800,0.001200,-0.001500
19690328,0.003900,0.003600,-0.003000
19690401,-0.001400,0.000700,0.004400
19690402,-0.007100,-0.002500,0.003100
19690403,-0.000900,-0.000400,0.001600
19690407,-0.008800,-0.002400,-0.001700
19690408,0.002100,-0.001000,0.003700
19690409,0.007900,-0.001000,-0.004300
19690410,0.004500,-0.000700,0.001000
19690411,0.000900,0.000800,0.000800
19690414,-0.001400,-0.001800,0.000300
19690415,-0.001000,-0.001300,-0.001700
19690416,-0.009000,0.000400,0.003600
19690417,0.001100,-0.001000,0.000800
19690418,0.003800,-0.003300,0.002200
19690421,-0.007700,-0.002700,0.002300
19690422,0.001600,-0.001200,-0.003100
19690423,0.001000,0.002800,0.000000
19690424,0.004200,-0.000400,-0.000400
19690425,0.004500,0.001100,-0.000800
19690428,0.003400,-0.000600,-0.001400
19690429,0.008300,0.002300,-0.005000
19690430,0.008600,0.004300,-0.005000
19690501,-0.001000,0.003500,-0.000200
19690502,0.004600,-0.000400,0.000900
19690505,0.004500,0.003000,-0.002700
19690506,0.004500,-0.000900,-0.001300
19690507,-0.002100,-0.001700,0.003300
19690508,0.003400,-0.001500,-0.002100
19690509,0.000900,-0.001500,0.001800
19690512,-0.001900,-0.001800,0.000700
19690513,0.004000,0.000200,-0.001800
19690514,0.006800,-0.003900,0.000900
19690515,-0.003000,0.000600,0.002100
19690516,0.000200,-0.001800,-0.001700
19690519,-0.008700,0.002200,0.002600
19690520,-0.008400,0.001300,0.002200
19690521,0.004200,0.000400,-0.001700
19690522,0.001900,-0.002000,0.003100
19690523,-0.000200,-0.000600,-0.001000
19690526,-0.002000,0.000300,-0.000500
19690527,-0.007900,-0.000500,0.001900
19690528,-0.002600,0.001800,-0.003200
19690529,0.002300,0.000800,0.001100
19690602,-0.005400,0.000200,-0.000300
19690603,-0.003400,-0.003000,0.001100
19690604,-0.000500,-0.000400,-0.000500
