"","PERMNO","TICKER","CUSIP","year","RET","mcap"
"7199",14497,"ATNM","00507W10",2015,-0.451612890749074,175835.16
"7200",14497,"ATNM","00507W10",2016,-0.729102534216588,142857.8
"7201",14498,"HIVE","00778610",2015,0.0645720821041535,219019.32
"7202",14498,"HIVE","00778610",2016,0.115454938890281,233712.54
"7203",14499,"AMBR","02318Y10",2015,-0.501954935263815,258795.99
"7204",14499,"AMBR","02318Y10",2016,0.783896728843295,131275
"7205",14500,"BRG","09627J10",2015,0.0449722231961875,94815.29
"7206",14500,"BRG","09627J10",2016,0.276218835041366,228695.82
"7207",14501,"GVAL","13206140",2015,-0.0812049426738115,56173.5
"7208",14501,"GVAL","13206140",2016,0.172405754191413,63926.1
"7209",14502,"CSLT","14862Q10",2015,-0.635043462624024,358327.35
"7210",14502,"CSLT","14862Q10",2016,0.159249083970419,166074.7
"7211",14503,"OUT","69007J10",2015,-0.138966780462859,3216294.8
"7212",14503,"OUT","69007J10",2016,0.209244662624504,2999135
"7213",14504,"COUP","74911910",2015,-0.615775390366529,1379034
"7214",14504,"QUOT","74911910",2016,0.576246464184111,625276.47
"7215",14505,"ENLC","29336T10",2015,-0.55991402908029,5877768.18
"7216",14505,"ENLC","29336T10",2016,0.354440942287775,2506195.58
"7217",14506,"EVDY","30041510",2015,-0.591864981314773,450911.23
"7218",14507,"FPL","33739M10",2015,-0.348821524174332,397980
"7219",14507,"FPL","33739M10",2016,0.323548797878912,243320
"7220",14508,"GURI","37950E17",2015,-0.122350343198284,-2157
"7221",14508,"GURI","37950E17",2016,0.0877068731748167,-1226.5
"7222",14512,"HKOR","44052C10",2015,-0.0787302633576692,4853.36
"7223",14513,"KBA","50076740",2015,-0.0443276923117412,23615
"7224",14513,"KBA","50076740",2016,-0.195072553632126,6344
"7225",14514,"JMLP","67075E10",2015,-0.495458249792646,199264.34
"7226",14514,"JMLP","67075E10",2016,0.661612012690064,89440.6027
"7227",14515,"TOLZ","74347B50",2015,-0.140718630198921,24025.87
"7228",14515,"TOLZ","74347B50",2016,0.121042326436748,29749.5
"7229",14516,"QTWO","74736L10",2015,0.399680745354805,646396.91
"7230",14516,"QTWO","74736L10",2016,0.0940506402742718,994201.2
"7231",14519,"IJNK","78468R84",2015,-0.0583681370823776,25223
"7232",14520,"TSLX","87265K10",2015,0.0559575377822974,896795.99
"7233",14520,"TSLX","87265K10",2016,0.25962261678119,891539.44
"7234",14521,"TNET","89628810",2015,-0.381393858892398,2128245.68
"7235",14521,"TNET","89628810",2016,0.324030220893676,1315013.16
"7236",14522,"TPVG","89677Y10",2015,-0.1008382101311,146698.36
"7237",14522,"TPVG","89677Y10",2016,0.118020435809695,202995.6
"7238",14523,"XXII","90137F10",2015,-0.151518383323007,112568.75
"7239",14523,"XXII","90137F10",2016,-0.221426323769607,99353.8
"7240",14524,"KING","G5258J10",2015,0.236912139171805,4742875.92
"7241",14526,"APOG","03759810",2010,-0.0119097183075407,398658
"7242",14526,"APOG","03759810",2011,-0.0648771360383832,394663.9
"7243",14526,"APOG","03759810",2012,0.996713043628576,351433.5
"7244",14526,"APOG","03759810",2013,0.517945078946003,700062.98
"7245",14526,"APOG","03759810",2014,0.194057531464694,1008027.9
"7246",14526,"APOG","03759810",2015,0.0358305622130253,1196374.96
"7247",14526,"APOG","03759810",2016,0.245746461669577,1238545.4
"7248",14527,"NORD","G6583A10",2015,0.0628979045037783,1907063.48
"7249",14527,"NORD","G6583A10",2016,0.148907876980793,2014354.35
"7250",14528,"AGTC","03820J10",2015,-0.0294976225112258,350357.71
"7251",14528,"AGTC","03820J10",2016,-0.541667720471133,357053.4
"7252",14529,"AIRR","33738R70",2015,-0.0951431395930098,102772.935
"7253",14529,"AIRR","33738R70",2016,0.433763647217266,37168
"7254",14530,"AKAO","00444910",2015,-0.560152002038022,249981.72
"7255",14530,"AKAO","00444910",2016,1.2682824127665,106874.95
"7256",14531,"AKBA","00972D10",2015,0.109975087649208,234266.5
"7257",14531,"AKBA","00972D10",2016,-0.194269398865967,385114.72
"7258",14532,"AMRK","00181T10",2015,0.923732108619475,69421.11
"7259",14532,"AMRK","00181T10",2016,0.0506652682801929,133412.62
"7260",14535,"AQXP","03842B10",2015,0.664001050209062,81602.85
"7261",14535,"AQXP","03842B10",2016,0.322907141816551,212223.96
"7262",14536,"BPTH","09057N10",2015,-0.530070538534964,238769.58
"7263",14536,"BPTH","09057N10",2016,0.0800017144104772,114896.64
"7264",14538,"DPRX","25456J10",2015,-0.0162467097134912,105700.44
"7265",14538,"DPRX","25456J10",2016,-0.857142637444213,103422.04
"7266",14539,"FV","33738R60",2015,0.067771940366073,1314404
"7267",14539,"FV","33738R60",2016,-0.00545522245896501,4714347
"7268",14540,"GLMD","M4723810",2015,0.312072281905276,64713
"7269",14540,"GLMD","M4723810",2016,-0.538763612578075,83805
"7270",14541,"CVX","16676410",2010,0.229472524736159,158615548.08
"7271",14541,"CVX","16676410",2011,0.202822511814713,185022630.32
"7272",14541,"CVX","16676410",2012,0.050813391767119,219800089.08
"7273",14541,"CVX","16676410",2013,0.19320376103296,216053210.59
"7274",14541,"CVX","16676410",2014,-0.0698367628091165,238742696.22
"7275",14541,"CVX","16676410",2015,-0.162111419125663,212823933.92
"7276",14541,"CVX","16676410",2016,0.366442150646727,167218987.45
"7277",14542,"GOOG","02079K10",2015,0.445591466505137,178644799.19
"7278",14542,"GOOG","02079K10",2016,0.0170465831340065,255753801.38268
"7279",14543,"BLBD","09530610",2016,0.523660846047065,209840
"7280",14544,"LE","51509F10",2015,-0.565605972129192,1754758.87
"7281",14544,"LE","51509F10",2016,-0.353667473658056,746669.94
"7282",14545,"LPCN","53630X10",2015,1.45817831818312,69093
"7283",14545,"LPCN","53630X10",2016,-0.715389665226161,229887
"7284",14546,"MDWD","M6883010",2015,0.282278031001421,148220.9
"7285",14546,"MDWD","M6883010",2016,-0.463793995265211,185069.5
"7286",14547,"PCTY","70438V10",2015,0.553044367687316,1296001.29
"7287",14547,"PCTY","70438V10",2016,-0.259928387808232,1964747.68
"7288",14548,"PFIE","74316X10",2015,-0.565788869771742,131571.44
"7289",14548,"PFIE","74316X10",2016,0.393936669654376,54320.1
"7290",14549,"QINC","33738R80",2015,-0.0614986097403457,-8648
"7291",14549,"QINC","33738R80",2016,0.16986888359549,9845
"7292",14550,"REPH","75629F10",2015,2.14688676439092,22353.2
"7293",14550,"REPH","75629F10",2016,-0.104437504759501,80248.8
"7294",14551,"RTGN","74584P10",2015,-0.519999540766643,16910.08
